iter	Passed	Remaining
0	9	9732
1	16	8136
2	37	12581
3	46	11579
4	60	12022
5	70	11748
6	101	14394
7	112	13998
8	128	14124
9	137	13650
10	154	13899
11	165	13618
12	179	13610
13	196	13871
14	208	13671
15	226	13908
16	234	13549
17	256	13966
18	264	13681
19	277	13611
20	286	13377
21	296	13162
22	303	12898
23	320	13036
24	330	12897
25	342	12836
26	353	12742
27	364	12652
28	376	12593
29	386	12499
30	412	12891
31	421	12756
32	431	12643
33	442	12569
34	453	12500
35	464	12443
36	472	12309
37	483	12248
38	492	12127
39	501	12034
40	511	11965
41	519	11858
42	530	11805
43	536	11653
44	546	11588
45	555	11519
46	563	11428
47	572	11350
48	579	11253
49	589	11204
50	598	11144
51	606	11051
52	615	10994
53	624	10946
54	636	10928
55	641	10811
56	651	10771
57	660	10731
58	669	10671
59	677	10619
60	687	10582
61	695	10516
62	703	10467
63	711	10411
64	721	10373
65	730	10333
66	738	10279
67	748	10258
68	756	10209
69	767	10191
70	776	10159
71	784	10110
72	792	10064
73	801	10025
74	809	9983
75	820	9971
76	828	9935
77	838	9909
78	847	9877
79	856	9854
80	865	9815
81	872	9771
82	881	9739
83	891	9721
84	897	9659
85	908	9657
86	917	9626
87	925	9586
88	932	9540
89	941	9524
90	949	9483
91	959	9473
92	966	9425
93	976	9407
94	984	9382
95	994	9367
96	1003	9340
97	1013	9329
98	1022	9306
99	1032	9288
100	1040	9264
101	1057	9306
102	1066	9286
103	1071	9233
104	1082	9224
105	1089	9191
106	1099	9174
107	1108	9157
108	1118	9145
109	1124	9096
110	1133	9081
111	1143	9065
112	1151	9040
113	1160	9019
114	1170	9009
115	1180	8998
116	1190	8988
117	1199	8968
118	1209	8952
119	1219	8939
120	1228	8922
121	1238	8909
122	1245	8880
123	1254	8863
124	1262	8835
125	1272	8825
126	1278	8788
127	1288	8779
128	1299	8770
129	1308	8755
130	1316	8736
131	1325	8716
132	1333	8695
133	1341	8669
134	1349	8649
135	1358	8633
136	1367	8616
137	1377	8603
138	1386	8588
139	1394	8568
140	1404	8556
141	1412	8536
142	1423	8528
143	1431	8511
144	1441	8500
145	1450	8483
146	1459	8471
147	1468	8451
148	1477	8440
149	1484	8409
150	1496	8412
151	1502	8380
152	1512	8374
153	1521	8359
154	1532	8353
155	1541	8340
156	1546	8301
157	1556	8293
158	1564	8275
159	1573	8259
160	1580	8237
161	1591	8230
162	1599	8215
163	1609	8203
164	1614	8171
165	1625	8165
166	1634	8153
167	1643	8139
168	1652	8123
169	1660	8104
170	1668	8089
171	1673	8057
172	1684	8052
173	1692	8036
174	1701	8023
175	1709	8002
176	1716	7981
177	1723	7957
178	1732	7947
179	1740	7931
180	1750	7922
181	1759	7905
182	1768	7894
183	1774	7867
184	1785	7864
185	1794	7851
186	1804	7845
187	1810	7820
188	1820	7810
189	1829	7798
190	1838	7785
191	1848	7778
192	1857	7766
193	1872	7779
194	1879	7758
195	1889	7750
196	1898	7737
197	1906	7720
198	1915	7712
199	1924	7699
200	1932	7683
201	1942	7672
202	1948	7650
203	1958	7641
204	1962	7612
205	1971	7597
206	1979	7583
207	1990	7579
208	1998	7563
209	2010	7562
210	2015	7535
211	2023	7520
212	2026	7487
213	2031	7462
214	2038	7444
215	2046	7426
216	2050	7399
217	2057	7382
218	2062	7354
219	2065	7323
220	2069	7296
221	2073	7265
222	2076	7234
223	2079	7204
224	2083	7175
225	2087	7147
226	2091	7121
227	2096	7097
228	2103	7081
229	2108	7058
230	2111	7029
231	2116	7005
232	2120	6979
233	2124	6955
234	2128	6930
235	2132	6902
236	2136	6877
237	2140	6852
238	2143	6825
239	2147	6801
240	2151	6774
241	2154	6749
242	2158	6722
243	2161	6698
244	2166	6674
245	2169	6648
246	2173	6626
247	2180	6613
248	2183	6586
249	2188	6565
250	2192	6543
251	2197	6523
252	2201	6500
253	2205	6477
254	2211	6461
255	2218	6447
256	2222	6424
257	2229	6413
258	2240	6410
259	2252	6410
260	2266	6418
261	2276	6411
262	2282	6396
263	2292	6390
264	2300	6379
265	2307	6367
266	2312	6349
267	2322	6343
268	2327	6325
269	2337	6319
270	2341	6299
271	2350	6290
272	2358	6279
273	2363	6263
274	2374	6260
275	2378	6240
276	2385	6225
277	2391	6209
278	2400	6204
279	2406	6188
280	2411	6171
281	2420	6162
282	2430	6156
283	2439	6149
284	2448	6142
285	2456	6133
286	2468	6132
287	2475	6120
288	2482	6108
289	2491	6099
290	2500	6091
291	2511	6088
292	2519	6079
293	2526	6067
294	2532	6052
295	2541	6043
296	2556	6051
297	2569	6052
298	2577	6042
299	2585	6032
300	2592	6020
301	2599	6008
302	2607	5997
303	2612	5982
304	2622	5975
305	2636	5979
306	2647	5977
307	2658	5973
308	2670	5972
309	2680	5965
310	2693	5967
311	2702	5959
312	2711	5950
313	2724	5951
314	2730	5937
315	2741	5934
316	2750	5925
317	2757	5914
318	2763	5900
319	2773	5893
320	2781	5882
321	2788	5871
322	2797	5862
323	2807	5856
324	2811	5838
325	2818	5827
326	2823	5810
327	2832	5802
328	2839	5791
329	2846	5779
330	2851	5764
331	2860	5755
332	2871	5751
333	2877	5737
334	2885	5728
335	2891	5714
336	2898	5701
337	2905	5691
338	2920	5694
339	2927	5681
340	2942	5686
341	2948	5672
342	2962	5675
343	2966	5657
344	2979	5656
345	2986	5644
346	2996	5639
347	3018	5656
348	3032	5656
349	3053	5670
350	3070	5676
351	3085	5680
352	3096	5674
353	3104	5664
354	3113	5656
355	3118	5642
356	3128	5635
357	3140	5632
358	3150	5625
359	3157	5612
360	3169	5609
361	3177	5600
362	3186	5591
363	3194	5581
364	3203	5572
365	3211	5563
366	3219	5552
367	3226	5541
368	3234	5531
369	3242	5520
370	3249	5509
371	3259	5502
372	3265	5489
373	3275	5482
374	3283	5471
375	3292	5464
376	3304	5460
377	3310	5447
378	3315	5433
379	3323	5422
380	3331	5412
381	3336	5397
382	3342	5384
383	3353	5379
384	3360	5367
385	3370	5361
386	3374	5345
387	3383	5336
388	3391	5326
389	3399	5317
390	3409	5310
391	3416	5298
392	3422	5285
393	3431	5277
394	3439	5267
395	3446	5256
396	3455	5248
397	3464	5239
398	3472	5230
399	3482	5223
400	3491	5215
401	3496	5201
402	3507	5196
403	3513	5183
404	3522	5175
405	3525	5158
406	3528	5141
407	3531	5123
408	3533	5106
409	3536	5089
410	3540	5073
411	3543	5056
412	3546	5040
413	3549	5023
414	3552	5007
415	3555	4990
416	3557	4974
417	3560	4957
418	3563	4941
419	3566	4925
420	3569	4908
421	3572	4892
422	3575	4876
423	3578	4860
424	3580	4844
425	3583	4829
426	3586	4813
427	3589	4797
428	3592	4782
429	3596	4767
430	3600	4752
431	3603	4737
432	3606	4722
433	3612	4711
434	3618	4700
435	3625	4690
436	3633	4680
437	3639	4670
438	3642	4655
